,Volume,Pressure
0,0.01,2.24
1,-2.64,3.45
2,-4.89,2.85
3,-1.97,2.0
4,-0.15,2.55
5,-3.76,3.53
6,-4.57,2.55
7,-0.97,1.98
8,-0.78,2.91
9,-4.45,3.38
10,-3.85,2.29
11,-0.27,2.07
12,-1.72,3.25
13,-4.89,3.11
14,-2.82,2.1
15,0.01,2.29
16,-2.9,3.49
17,-4.87,2.79
18,-1.72,1.99
19,-0.27,2.62
20,-3.91,3.51
21,-4.41,2.5
22,-0.84,1.99
23,-0.91,3.01
24,-4.59,3.34
25,-3.66,2.24
26,-0.15,2.11
27,-1.96,3.32
28,-4.9,3.04
29,-2.58,2.06
30,-0.01,2.36
31,-3.12,3.52
32,-4.8,2.73
33,-1.55,1.98
34,-0.37,2.7
35,-4.08,3.5
36,-4.32,2.44
37,-0.6,2.0
38,-1.14,3.07
39,-4.69,3.29
40,-3.45,2.2
41,-0.07,2.15
42,-2.23,3.38
43,-4.91,2.96
44,-2.33,2.03
45,-0.04,2.43
46,-3.42,3.53
47,-4.74,2.65
48,-1.25,1.98
49,-0.51,2.8
50,-4.27,3.45
51,-4.14,2.37
52,-0.42,2.03
53,-1.36,3.16
54,-4.8,3.2
55,-3.14,2.14
56,-0.01,2.22
57,-2.52,3.44
58,-4.9,2.88
59,-2.02,2.02
60,-0.13,2.52
61,-3.62,3.53
62,-4.59,2.57
63,-0.99,1.98
64,-0.73,2.89
65,-4.45,3.4
66,-3.85,2.3
67,-0.27,2.07
68,-1.66,3.25
69,-4.86,3.12
70,-2.84,2.1
71,-0.0,2.29
72,-2.9,3.48
73,-4.86,2.78
74,-1.72,1.99
75,-0.27,2.62
76,-3.91,3.51
77,-4.41,2.49
78,-0.73,1.99
79,-0.99,3.01
80,-4.65,3.33
81,-3.6,2.23
82,-0.13,2.13
83,-2.02,3.35
84,-4.91,3.01
85,-2.54,2.05
86,-0.01,2.38
87,-3.23,3.52
88,-4.75,2.69
89,-1.37,1.98
90,-0.42,2.74
91,-4.15,3.47
92,-4.2,2.39
93,-0.46,2.02
94,-1.24,3.13
95,-4.77,3.23
96,-3.24,2.16
97,-0.04,2.2
98,-2.46,3.42
99,-4.91,2.91
100,-2.09,2.01
101,-0.1,2.49
102,-3.62,3.54
103,-4.63,2.59
104,-1.02,1.97
105,-0.69,2.89
106,-4.5,3.41
107,-3.91,2.31
108,-0.27,2.06
109,-1.66,3.25
110,-4.86,3.11
111,-2.84,2.09
112,-0.0,2.29
113,-2.9,3.49
114,-4.87,2.78
115,-1.69,1.98
116,-0.27,2.64
117,-3.96,3.51
118,-4.38,2.47
119,-0.69,1.99
120,-1.03,3.03
121,-4.65,3.3
122,-3.56,2.22
123,-0.1,2.13
124,-2.11,3.36
125,-4.93,2.99
126,-2.46,2.04
127,-0.03,2.41
128,-3.36,3.52
129,-4.75,2.66
130,-1.31,1.97
131,-0.51,2.78
132,-4.24,3.45
133,-4.12,2.37
134,-0.43,2.02
135,-1.36,3.15
136,-4.8,3.2
137,-3.18,2.14
138,-0.01,2.21
139,-2.58,3.43
140,-4.89,2.88
141,-2.03,2.01
142,-0.13,2.52
143,-3.6,3.53
144,-4.59,2.56
145,-0.99,1.97
146,-0.75,2.9
147,-4.45,3.39
148,-3.85,2.29
149,-0.27,2.06
150,-1.72,3.26
151,-4.87,3.1
152,-2.84,2.08
153,-0.0,2.29
154,-2.9,3.48
155,-4.86,2.77
156,-1.72,1.98
157,-0.27,2.64
158,-3.9,3.51
159,-4.38,2.47
160,-0.73,1.99
161,-0.99,3.01
162,-4.65,3.32
163,-3.57,2.22
164,-0.12,2.13
165,-2.11,3.34
166,-4.91,3.01
167,-2.46,2.05
168,-0.04,2.39
169,-3.3,3.52
170,-4.75,2.68
171,-1.37,1.98
172,-0.46,2.74
173,-4.2,3.46
174,-4.2,2.39
175,-0.46,2.01
176,-1.25,3.12
177,-4.78,3.22
178,-3.24,2.15
179,-0.04,2.19
180,-2.46,3.42
181,-4.91,2.9
182,-2.11,2.01
183,-0.12,2.49
184,-3.57,3.53
185,-4.63,2.58
186,-1.02,1.98
187,-0.69,2.88
188,-4.42,3.4
189,-3.91,2.31
190,-0.28,2.06
191,-1.64,3.24
192,-4.86,3.12
193,-2.84,2.1
194,0.01,2.29
195,-2.9,3.48
196,-4.86,2.78
197,-1.72,1.98
198,-0.27,2.63
199,-3.99,3.51
200,-4.38,2.47
201,-0.73,2.0
202,-1.03,3.02
203,-4.66,3.31
204,-3.57,2.21
205,-0.12,2.13
206,-2.17,3.34
207,-4.91,2.98
208,-2.41,2.04
209,-0.03,2.41
210,-3.35,3.53
211,-4.74,2.65
212,-1.3,1.98
213,-0.51,2.77
214,-4.32,3.45
215,-4.08,2.37
216,-0.37,2.03
217,-1.42,3.17
218,-4.8,3.19
219,-3.12,2.13
220,-0.01,2.23
221,-2.58,3.45
222,-4.9,2.85
223,-1.97,2.0
224,-0.18,2.54
225,-3.76,3.52
226,-4.51,2.53
227,-0.87,1.98
228,-0.84,2.93
229,-4.56,3.35
230,-3.73,2.26
231,-0.22,2.09
232,-1.91,3.3
233,-4.89,3.05
234,-2.64,2.06
235,-0.0,2.35
236,-3.12,3.51
237,-4.81,2.71
238,-1.48,1.98
239,-0.39,2.72
240,-4.08,3.48
241,-4.24,2.41
242,-0.57,2.02
243,-1.2,3.11
244,-4.74,3.25
245,-3.3,2.17
246,-0.03,2.19
247,-2.41,3.41
248,-4.91,2.91
249,-2.17,2.01
