Analog in 1	Analog in 1	Analog in 2
U1/V	U1/V	U2/V

1.96	1.96	3.33
4.87	4.87	3.07
2.96	2.96	2.10
0.01	0.01	2.23
2.41	2.41	3.42
4.91	4.91	2.96
2.52	2.52	2.05
-0.01	-0.01	2.32
2.84	2.84	3.49
4.89	4.89	2.85
2.15	2.15	2.00
0.06	0.06	2.43
3.18	3.18	3.53
4.81	4.81	2.73
1.78	1.78	1.98
0.16	0.16	2.56
3.56	3.56	3.54
4.72	4.72	2.62
1.42	1.42	1.97
0.37	0.37	2.69
3.91	3.91	3.52
4.56	4.56	2.52
1.03	1.03	1.97
0.57	0.57	2.82
4.20	4.20	3.47
4.27	4.27	2.42
0.73	0.73	1.98
0.84	0.84	2.96
4.45	4.45	3.40
4.03	4.03	2.32
0.46	0.46	2.02
1.12	1.12	3.09
4.66	4.66	3.31
3.72	3.72	2.24
0.27	0.27	2.06
1.54	1.54	3.21
4.78	4.78	3.21
3.36	3.36	2.16
0.10	0.10	2.13
1.91	1.91	3.32
4.87	4.87	3.10
3.00	3.00	2.10
0.01	0.01	2.21
2.33	2.33	3.41
4.91	4.91	2.98
2.60	2.60	2.05
0.00	0.00	2.31
2.78	2.78	3.47
4.90	4.90	2.86
2.23	2.23	2.01
0.03	0.03	2.42
3.12	3.12	3.53
4.83	4.83	2.75
1.76	1.76	1.99
0.15	0.15	2.53
3.57	3.57	3.53
4.72	4.72	2.63
1.42	1.42	1.96
0.33	0.33	2.67
3.82	3.82	3.53
4.57	4.57	2.54
1.08	1.08	1.97
0.52	0.52	2.79
4.12	4.12	3.49
4.36	4.36	2.43
0.76	0.76	1.98
0.78	0.78	2.94
4.41	4.41	3.41
4.09	4.09	2.34
0.51	0.51	2.01
1.09	1.09	3.06
4.57	4.57	3.33
3.76	3.76	2.26
0.28	0.28	2.05
1.42	1.42	3.18
4.75	4.75	3.24
3.45	3.45	2.18
0.15	0.15	2.11
1.78	1.78	3.29
4.86	4.86	3.13
3.14	3.14	2.13
0.03	0.03	2.18
2.21	2.21	3.37
4.90	4.90	3.01
2.72	2.72	2.07
0.00	0.00	2.27
2.58	2.58	3.46
4.91	4.91	2.90
2.33	2.33	2.02
0.01	0.01	2.38
3.00	3.00	3.51
4.87	4.87	2.79
1.97	1.97	1.99
0.10	0.10	2.49
3.42	3.42	3.53
4.78	4.78	2.68
1.60	1.60	1.97
0.22	0.22	2.61
3.76	3.76	3.52
4.65	4.65	2.58
1.25	1.25	1.97
0.43	0.43	2.74
3.99	3.99	3.50
4.45	4.45	2.48
0.93	0.93	1.97
0.67	0.67	2.88
4.32	4.32	3.45
4.20	4.20	2.38
0.63	0.63	1.99
0.94	0.94	3.01
4.51	4.51	3.37
3.91	3.91	2.29
0.37	0.37	2.03
1.25	1.25	3.13
4.68	4.68	3.28
3.60	3.60	2.22
0.21	0.21	2.08
1.60	1.60	3.25
4.83	4.83	3.18
3.23	3.23	2.15
0.07	0.07	2.15
2.02	2.02	3.34
4.87	4.87	3.07
2.90	2.90	2.09
0.01	0.01	2.22
2.41	2.41	3.42
4.91	4.91	2.95
2.52	2.52	2.04
0.00	0.00	2.32
2.84	2.84	3.48
4.90	4.90	2.84
2.17	2.17	2.01
0.06	0.06	2.43
3.24	3.24	3.53
4.84	4.84	2.74
1.78	1.78	1.98
0.16	0.16	2.55
3.57	3.57	3.54
4.72	4.72	2.63
1.42	1.42	1.97
0.33	0.33	2.67
3.93	3.93	3.53
4.56	4.56	2.53
1.09	1.09	1.97
0.49	0.49	2.81
4.20	4.20	3.49
4.36	4.36	2.45
0.84	0.84	1.99
0.78	0.78	2.94
4.38	4.38	3.42
4.08	4.08	2.35
0.49	0.49	2.01
1.03	1.03	3.07
4.57	4.57	3.34
3.82	3.82	2.27
0.33	0.33	2.05
1.37	1.37	3.18
4.74	4.74	3.25
3.45	3.45	2.19
0.15	0.15	2.11
1.76	1.76	3.28
4.86	4.86	3.15
3.12	3.12	2.13
0.03	0.03	2.18
2.23	2.23	3.37
4.90	4.90	3.03
2.78	2.78	2.07
0.00	0.00	2.27
2.58	2.58	3.45
4.91	4.91	2.92
2.42	2.42	2.03
0.01	0.01	2.37
3.00	3.00	3.51
4.89	4.89	2.81
2.02	2.02	2.00
0.10	0.10	2.47
3.42	3.42	3.53
4.81	4.81	2.70
1.66	1.66	1.97
0.22	0.22	2.61
3.66	3.66	3.53
4.65	4.65	2.59
1.25	1.25	1.97
0.37	0.37	2.73
3.99	3.99	3.51
4.50	4.50	2.49
0.99	0.99	1.98
0.63	0.63	2.86
4.27	4.27	3.45
4.24	4.24	2.39
0.63	0.63	1.99
0.93	0.93	2.99
4.50	4.50	3.38
3.96	3.96	2.31
0.42	0.42	2.03
1.21	1.21	3.12
4.66	4.66	3.30
3.60	3.60	2.23
0.24	0.24	2.07
1.60	1.60	3.23
4.80	4.80	3.19
3.30	3.30	2.15
0.10	0.10	2.15
1.96	1.96	3.34
4.89	4.89	3.07
2.96	2.96	2.09
0.01	0.01	2.23
2.42	2.42	3.42
4.91	4.91	2.96
2.58	2.58	2.05
0.00	0.00	2.33
2.78	2.78	3.49
4.89	4.89	2.85
2.17	2.17	2.01
0.04	0.04	2.43
3.18	3.18	3.53
4.84	4.84	2.74
1.76	1.76	1.99
0.15	0.15	2.55
3.56	3.56	3.54
4.72	4.72	2.62
1.43	1.43	1.97
0.33	0.33	2.68
3.91	3.91	3.52
4.54	4.54	2.53
1.08	1.08	1.97
0.57	0.57	2.82
4.20	4.20	3.49
4.36	4.36	2.44
0.78	0.78	1.99
0.76	0.76	2.94
4.45	4.45	3.41
4.08	4.08	2.34
0.49	0.49	2.01
1.08	1.08	3.06
4.57	4.57	3.33
3.76	3.76	2.26
0.28	0.28	2.06
1.43	1.43	3.19
4.77	4.77	3.25
3.51	3.51	2.19
0.15	0.15	2.11
1.78	1.78	3.29
4.84	4.84	3.15
3.12	3.12	2.13
0.03	0.03	2.18
2.17	2.17	3.38
